dataset,split,experiment,model,seed,checkpoint_role,checkpoint_file,internal_epoch,epoch_basis,selection_metric,validation_miou_pct,test_votes,subcloud_miou_pct,fullcloud_miou_pct,train_gpu,model_params,train_active_seconds,status
S3DIS,Area_5,S3DIS_KPConvX-L-4090D-24G,KPConvX-L,57106803,best_validation,best_mIoU_chkp.tar,348,checkpoint_monitor,validation_mIoU,75.7384615,10,70.9,71.1,NVIDIA GeForce RTX 4090 D,18288909,131437.573,completed
S3DIS,Area_5,S3DIS_KPConvX-L-4090D-24G,KPConvX-L,57106803,final,current_chkp.tar,450,completion_counter,final_validation_mIoU,72.0,10,71.1,71.4,NVIDIA GeForce RTX 4090 D,18288909,131437.573,completed
