dataset,split,experiment_id,model,fast_adapter,seed,checkpoint_role,checkpoint,internal_epoch,test_votes,validation_miou_pct,fullcloud_miou_pct,status
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,48,,60.7307692,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,49,,63.3000000,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,50,,66.0307692,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,51,,66.5230769,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,52,,64.6076923,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,53,,68.9307692,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,54,,64.2000000,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,55,,65.3384615,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,56,,68.8153846,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,57,,65.2461538,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,58,,64.5769231,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,59,,65.1384615,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,60,,66.6538462,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,61,,64.7000000,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,62,,67.3615385,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,63,,64.8384615,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,64,,64.6538462,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,65,,66.9769231,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,66,,70.8000000,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,67,,64.9461538,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,68,,65.4461538,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,69,,68.2307692,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,70,,67.7461538,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,71,,66.8230769,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,72,,68.9846154,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,73,,66.4692308,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,74,,66.2230769,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,75,,69.4000000,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,76,,69.4846154,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,77,,67.9076923,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,78,,71.4153846,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,79,,68.6307692,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,80,,66.8076923,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,81,,69.7076923,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,82,,67.4384615,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,83,,65.7153846,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,84,,65.9076923,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,85,,67.1769231,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,86,,63.4923077,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,87,,67.0692308,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,88,,64.6230769,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,89,,63.2692308,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,90,,69.0692308,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,91,,71.9692308,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,92,,65.5384615,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,93,,67.1923077,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,94,,71.5615385,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,95,,66.4615385,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,96,,67.3153846,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,97,,70.0000000,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,98,,69.2615385,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,99,,67.9923077,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,100,,70.5307692,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,101,,64.9846154,,completed
