experiment_id,experiment_dir,model,fast_adapter,seed,training_environment_label,model_params,train_active_seconds,checkpoint_file,internal_epoch,test_votes,single_oa_pct,single_macc_pct,vote10_oa_pct,vote10_macc_pct,throughput_instances_s,test_gpu,status
D+FA,ScanObjectNN_KPConvD-L-FastAdapter-seed57106803-4080S-32G,KPConvD-L,true,57106803,4080S-32G,7896617,35204.849,chkp_exact_0200.tar,200,10,87.6,85.7,88.5,87.0,137.7,NVIDIA GeForce RTX 4080 SUPER,completed
D+FA,ScanObjectNN_KPConvD-L-FastAdapter-seed57106803-4080S-32G,KPConvD-L,true,57106803,4080S-32G,7896617,35204.849,chkp_exact_0210.tar,210,10,88.0,86.5,88.7,87.4,137.4,NVIDIA GeForce RTX 4080 SUPER,completed
D+FA,ScanObjectNN_KPConvD-L-FastAdapter-seed57106803-4080S-32G,KPConvD-L,true,57106803,4080S-32G,7896617,35204.849,chkp_exact_0220.tar,220,10,88.0,86.3,88.4,86.9,136.8,NVIDIA GeForce RTX 4080 SUPER,completed
D+FA,ScanObjectNN_KPConvD-L-FastAdapter-seed57106803-4080S-32G,KPConvD-L,true,57106803,4080S-32G,7896617,35204.849,chkp_exact_0230.tar,230,10,87.9,86.3,88.8,87.4,135.6,NVIDIA GeForce RTX 4080 SUPER,completed
D+FA,ScanObjectNN_KPConvD-L-FastAdapter-seed57106803-4080S-32G,KPConvD-L,true,57106803,4080S-32G,7896617,35204.849,chkp_exact_0240.tar,240,10,88.0,86.4,88.6,87.3,136.3,NVIDIA GeForce RTX 4080 SUPER,completed
D+FA,ScanObjectNN_KPConvD-L-FastAdapter-seed57106803-4080S-32G,KPConvD-L,true,57106803,4080S-32G,7896617,35204.849,chkp_0250.tar,249,10,88.4,87.0,88.7,87.3,137.0,NVIDIA GeForce RTX 4080 SUPER,completed
D+FA,ScanObjectNN_KPConvD-L-FastAdapter-seed57106803-4080S-32G,KPConvD-L,true,57106803,4080S-32G,7896617,35204.849,chkp_exact_0250.tar,250,10,88.2,86.7,89.1,87.8,135.1,NVIDIA GeForce RTX 4080 SUPER,completed
X,ScanObjectNN_KPConvX-L-official-seed57106803-4080S-32G,KPConvX-L,false,57106803,4080S-32G,12389511,29553.054,chkp_0050.tar,49,10,85.9,84.6,86.5,85.1,243.1,NVIDIA GeForce RTX 4080 SUPER,completed
X,ScanObjectNN_KPConvX-L-official-seed57106803-4080S-32G,KPConvX-L,false,57106803,4080S-32G,12389511,29553.054,chkp_0100.tar,99,10,87.6,87.1,88.7,88.2,243.1,NVIDIA GeForce RTX 4080 SUPER,completed
X,ScanObjectNN_KPConvX-L-official-seed57106803-4080S-32G,KPConvX-L,false,57106803,4080S-32G,12389511,29553.054,chkp_0150.tar,149,10,88.7,87.4,89.0,87.8,243.2,NVIDIA GeForce RTX 4080 SUPER,completed
X,ScanObjectNN_KPConvX-L-official-seed57106803-4080S-32G,KPConvX-L,false,57106803,4080S-32G,12389511,29553.054,chkp_exact_0190.tar,190,10,88.3,87.0,89.0,87.8,243.1,NVIDIA GeForce RTX 4080 SUPER,completed
X,ScanObjectNN_KPConvX-L-official-seed57106803-4080S-32G,KPConvX-L,false,57106803,4080S-32G,12389511,29553.054,chkp_0200.tar,199,10,88.4,87.1,89.3,88.2,243.2,NVIDIA GeForce RTX 4080 SUPER,completed
X,ScanObjectNN_KPConvX-L-official-seed57106803-4080S-32G,KPConvX-L,false,57106803,4080S-32G,12389511,29553.054,chkp_exact_0200.tar,200,10,88.9,87.5,89.0,87.8,243.2,NVIDIA GeForce RTX 4080 SUPER,completed
X,ScanObjectNN_KPConvX-L-official-seed57106803-4080S-32G,KPConvX-L,false,57106803,4080S-32G,12389511,29553.054,chkp_exact_0210.tar,210,10,88.7,87.3,88.8,87.6,243.2,NVIDIA GeForce RTX 4080 SUPER,completed
X,ScanObjectNN_KPConvX-L-official-seed57106803-4080S-32G,KPConvX-L,false,57106803,4080S-32G,12389511,29553.054,chkp_exact_0220.tar,220,10,88.2,86.8,89.3,88.1,243.2,NVIDIA GeForce RTX 4080 SUPER,completed
X,ScanObjectNN_KPConvX-L-official-seed57106803-4080S-32G,KPConvX-L,false,57106803,4080S-32G,12389511,29553.054,chkp_exact_0230.tar,230,10,88.3,86.6,89.1,87.7,243.2,NVIDIA GeForce RTX 4080 SUPER,completed
X,ScanObjectNN_KPConvX-L-official-seed57106803-4080S-32G,KPConvX-L,false,57106803,4080S-32G,12389511,29553.054,chkp_exact_0240.tar,240,10,88.5,87.1,89.1,87.7,243.0,NVIDIA GeForce RTX 4080 SUPER,completed
X,ScanObjectNN_KPConvX-L-official-seed57106803-4080S-32G,KPConvX-L,false,57106803,4080S-32G,12389511,29553.054,chkp_0250.tar,249,10,88.7,87.0,89.1,87.6,243.3,NVIDIA GeForce RTX 4080 SUPER,completed
X,ScanObjectNN_KPConvX-L-official-seed57106803-4080S-32G,KPConvX-L,false,57106803,4080S-32G,12389511,29553.054,chkp_exact_0250.tar,250,10,88.9,87.5,89.1,87.8,243.2,NVIDIA GeForce RTX 4080 SUPER,completed
