experiment_id,experiment_dir,model,fast_adapter,seed,training_environment_label,model_params,train_active_seconds,evaluated_checkpoint_epochs,status,anomalies
D,ScanObjectNN_KPConvD-L-official-4090D-24G,KPConvD-L,false,57106803,4090D-24G,7146735,15097.069,6,completed,none recorded
X+FA,ScanObjectNN_KPConvX-L-FastAdapter-seed57106803-4090D-24G,KPConvX-L,true,57106803,4090D-24G,13139393,36720.519,12,completed,epoch 0 CUDA OOM; batch limit reduced; 12 oversized batches skipped
D+FA,ScanObjectNN_KPConvD-L-FastAdapter-seed57106803-4080S-32G,KPConvD-L,true,57106803,4080S-32G,7896617,35204.849,12,completed,none recorded
X,ScanObjectNN_KPConvX-L-official-seed57106803-4080S-32G,KPConvX-L,false,57106803,4080S-32G,12389511,29553.054,12,completed,none recorded
